Data_Venda,Produto,Quantidade,Preco_Unitario,Categoria,Valor_Total
2020-01-16,Brinquedo de Borracha,9,180.35,Brinquedos,1623.15
2020-01-16,Comedouro Duplo,3,38.46,Acessórios,115.38
2020-01-16,Suplemento Vitamínico,3,78.12,Saúde,234.36
2020-01-16,Suplemento Vitamínico,5,19.53,Saúde,97.65
2020-01-16,Areia Higiênica,8,29.1,Higiene,232.8
2020-01-17,Comedouro Duplo,2,137.67,Acessórios,275.34
2020-01-17,Caminha Luxo,3,168.26,Conforto,504.78
2020-01-17,Petisco Natural,4,226.03,Alimentação,904.12
2020-01-17,Suplemento Vitamínico,9,85.67,Saúde,771.03
2020-01-17,Shampoo Antipulgas,7,61.31,Higiene,429.17
2020-01-18,Suplemento Vitamínico,8,167.7,Saúde,1341.6
2020-01-18,Ração Premium,2,222.86,Alimentação,445.72
2020-01-19,Ração Premium,8,26.18,Alimentação,209.44
2020-01-19,Petisco Natural,8,10.24,Alimentação,81.92
2020-01-19,Caminha Luxo,7,81.44,Conforto,570.08
2020-01-20,Suplemento Vitamínico,5,108.2,Saúde,541.0
2020-01-20,Areia Higiênica,6,215.38,Higiene,1292.28
2020-01-20,Petisco Natural,5,98.37,Alimentação,491.85
2020-01-20,Comedouro Duplo,5,45.01,Acessórios,225.05
2020-01-21,Escova de Pelos,9,232.95,Cuidados,2096.55
2020-01-21,Petisco Natural,3,183.76,Alimentação,551.28
2020-01-21,Petisco Natural,8,169.98,Alimentação,1359.84
2020-01-21,Comedouro Duplo,2,165.0,Acessórios,330.0
2020-01-22,Caminha Luxo,8,38.06,Conforto,304.48
2020-01-22,Petisco Natural,1,192.75,Alimentação,192.75
2020-01-22,Coleira Ajustável,3,90.57,Acessórios,271.71
2020-01-22,Petisco Natural,7,161.31,Alimentação,1129.17
2020-01-23,Suplemento Vitamínico,2,86.44,Saúde,172.88
2020-01-23,Shampoo Antipulgas,2,219.47,Higiene,438.94
2020-01-23,Petisco Natural,9,221.83,Alimentação,1996.47
2020-01-23,Caminha Luxo,5,81.0,Conforto,405.0
2020-01-23,Brinquedo de Borracha,3,65.92,Brinquedos,197.76
2020-01-24,Coleira Ajustável,6,43.29,Acessórios,259.74
2020-01-24,Shampoo Antipulgas,4,85.26,Higiene,341.04
2020-01-24,Areia Higiênica,8,203.68,Higiene,1629.44
2020-01-24,Ração Premium,1,137.95,Alimentação,137.95
2020-01-24,Caminha Luxo,8,158.86,Conforto,1270.88
2020-01-24,Shampoo Antipulgas,4,107.52,Higiene,430.08
2020-01-24,Escova de Pelos,6,112.25,Cuidados,673.5
2020-01-24,Brinquedo de Borracha,6,102.34,Brinquedos,614.04
2020-01-25,Comedouro Duplo,3,160.45,Acessórios,481.35
2020-01-25,Escova de Pelos,3,30.59,Cuidados,91.77
2020-01-25,Ração Premium,2,81.13,Alimentação,162.26
2020-01-25,Brinquedo de Borracha,7,200.73,Brinquedos,1405.11
2020-01-25,Comedouro Duplo,6,77.18,Acessórios,463.08
2020-01-25,Ração Premium,7,83.44,Alimentação,584.08
2020-01-26,Coleira Ajustável,9,153.38,Acessórios,1380.42
2020-01-26,Comedouro Duplo,7,235.0,Acessórios,1645.0
2020-01-26,Ração Premium,5,46.14,Alimentação,230.7
2020-01-27,Coleira Ajustável,7,33.59,Acessórios,235.13
2020-01-27,Brinquedo de Borracha,1,132.74,Brinquedos,132.74
2020-01-27,Ração Premium,1,195.18,Alimentação,195.18
2020-01-27,Ração Premium,3,109.08,Alimentação,327.24
2020-01-27,Coleira Ajustável,7,65.69,Acessórios,459.83
2020-01-27,Shampoo Antipulgas,5,138.04,Higiene,690.2
2020-01-28,Caminha Luxo,9,100.16,Conforto,901.44
2020-01-28,Caminha Luxo,7,216.11,Conforto,1512.77
2020-01-28,Shampoo Antipulgas,7,232.98,Higiene,1630.86
2020-01-29,Shampoo Antipulgas,1,164.98,Higiene,164.98
2020-01-29,Comedouro Duplo,6,100.14,Acessórios,600.84
2020-01-29,Comedouro Duplo,9,47.2,Acessórios,424.8
2020-01-29,Suplemento Vitamínico,5,159.71,Saúde,798.55
2020-01-30,Suplemento Vitamínico,2,84.42,Saúde,168.84
2020-01-30,Petisco Natural,2,200.92,Alimentação,401.84
2020-01-30,Comedouro Duplo,3,55.04,Acessórios,165.12
2020-01-30,Shampoo Antipulgas,4,86.73,Higiene,346.92
2020-01-30,Caminha Luxo,2,75.19,Conforto,150.38
2020-01-30,Areia Higiênica,7,93.97,Higiene,657.79
2020-01-30,Suplemento Vitamínico,3,158.22,Saúde,474.66
2020-01-30,Escova de Pelos,6,60.6,Cuidados,363.6
2020-01-30,Petisco Natural,3,10.51,Alimentação,31.53
2020-01-31,Ração Premium,4,76.87,Alimentação,307.48
2020-01-31,Escova de Pelos,2,118.24,Cuidados,236.48
2020-01-31,Areia Higiênica,8,146.0,Higiene,1168.0
2020-01-31,Escova de Pelos,6,245.3,Cuidados,1471.8
2020-01-31,Comedouro Duplo,2,211.24,Acessórios,422.48
2020-01-31,Escova de Pelos,9,230.95,Cuidados,2078.55
2020-01-31,Brinquedo de Borracha,2,61.86,Brinquedos,123.72
2020-02-01,Caminha Luxo,3,162.61,Conforto,487.83
2020-02-01,Coleira Ajustável,4,123.99,Acessórios,495.96
2020-02-02,Comedouro Duplo,8,83.82,Acessórios,670.56
2020-02-02,Escova de Pelos,8,171.7,Cuidados,1373.6
2020-02-02,Escova de Pelos,6,248.54,Cuidados,1491.24
2020-02-02,Ração Premium,3,15.82,Alimentação,47.46
2020-02-02,Escova de Pelos,9,108.48,Cuidados,976.32
2020-02-02,Ração Premium,7,113.32,Alimentação,793.24
2020-02-02,Escova de Pelos,2,135.63,Cuidados,271.26
2020-02-03,Coleira Ajustável,7,19.48,Acessórios,136.36
2020-02-03,Areia Higiênica,6,109.55,Higiene,657.3
2020-02-03,Comedouro Duplo,8,31.99,Acessórios,255.92
2020-02-03,Caminha Luxo,7,235.89,Conforto,1651.23
2020-02-03,Brinquedo de Borracha,6,93.37,Brinquedos,560.22
2020-02-03,Petisco Natural,7,65.96,Alimentação,461.72
2020-02-03,Escova de Pelos,1,97.38,Cuidados,97.38
2020-02-03,Caminha Luxo,1,66.32,Conforto,66.32
2020-02-03,Comedouro Duplo,4,125.56,Acessórios,502.24
2020-02-03,Areia Higiênica,2,147.41,Higiene,294.82
2020-02-03,Ração Premium,6,133.54,Alimentação,801.24
2020-02-03,Shampoo Antipulgas,4,231.18,Higiene,924.72
2020-02-04,Suplemento Vitamínico,4,100.16,Saúde,400.64
2020-02-04,Shampoo Antipulgas,4,42.22,Higiene,168.88
2020-02-04,Areia Higiênica,7,12.11,Higiene,84.77
2020-02-04,Brinquedo de Borracha,7,231.83,Brinquedos,1622.81
2020-02-04,Escova de Pelos,4,39.95,Cuidados,159.8
2020-02-05,Escova de Pelos,4,10.8,Cuidados,43.2
2020-02-05,Suplemento Vitamínico,4,128.32,Saúde,513.28
2020-02-05,Coleira Ajustável,8,181.03,Acessórios,1448.24
2020-02-06,Caminha Luxo,9,229.16,Conforto,2062.44
2020-02-06,Escova de Pelos,4,31.84,Cuidados,127.36
2020-02-06,Petisco Natural,1,225.59,Alimentação,225.59
2020-02-06,Ração Premium,8,188.75,Alimentação,1510.0
2020-02-06,Suplemento Vitamínico,4,130.56,Saúde,522.24
2020-02-06,Brinquedo de Borracha,7,229.57,Brinquedos,1606.99
2020-02-06,Caminha Luxo,8,181.17,Conforto,1449.36
2020-02-07,Suplemento Vitamínico,2,17.87,Saúde,35.74
2020-02-07,Comedouro Duplo,6,184.87,Acessórios,1109.22
2020-02-07,Brinquedo de Borracha,2,199.68,Brinquedos,399.36
2020-02-08,Comedouro Duplo,5,79.72,Acessórios,398.6
2020-02-08,Petisco Natural,5,220.24,Alimentação,1101.2
2020-02-08,Escova de Pelos,1,17.89,Cuidados,17.89
2020-02-08,Comedouro Duplo,2,135.54,Acessórios,271.08
2020-02-09,Comedouro Duplo,3,237.49,Acessórios,712.47
2020-02-10,Ração Premium,2,11.11,Alimentação,22.22
2020-02-10,Coleira Ajustável,1,223.35,Acessórios,223.35
2020-02-10,Comedouro Duplo,5,195.97,Acessórios,979.85
2020-02-10,Areia Higiênica,6,176.27,Higiene,1057.62
2020-02-10,Escova de Pelos,7,49.13,Cuidados,343.91
2020-02-10,Coleira Ajustável,4,199.73,Acessórios,798.92
2020-02-11,Shampoo Antipulgas,4,206.28,Higiene,825.12
2020-02-11,Shampoo Antipulgas,1,23.68,Higiene,23.68
2020-02-11,Petisco Natural,9,207.36,Alimentação,1866.24
2020-02-11,Suplemento Vitamínico,9,171.8,Saúde,1546.2
2020-02-11,Ração Premium,6,132.41,Alimentação,794.46
2020-02-12,Comedouro Duplo,7,101.41,Acessórios,709.87
2020-02-12,Shampoo Antipulgas,1,29.71,Higiene,29.71
2020-02-12,Petisco Natural,1,116.78,Alimentação,116.78
2020-02-12,Suplemento Vitamínico,5,232.68,Saúde,1163.4
2020-02-12,Escova de Pelos,7,31.26,Cuidados,218.82
2020-02-12,Areia Higiênica,9,122.47,Higiene,1102.23
2020-02-12,Ração Premium,4,67.38,Alimentação,269.52
2020-02-12,Caminha Luxo,9,16.97,Conforto,152.73
2020-02-12,Coleira Ajustável,1,160.51,Acessórios,160.51
2020-02-12,Shampoo Antipulgas,9,20.36,Higiene,183.24
2020-02-12,Caminha Luxo,4,34.27,Conforto,137.08
2020-02-12,Suplemento Vitamínico,2,207.5,Saúde,415.0
2020-02-12,Caminha Luxo,2,178.81,Conforto,357.62
2020-02-13,Brinquedo de Borracha,6,219.06,Brinquedos,1314.36
2020-02-13,Ração Premium,4,207.4,Alimentação,829.6
2020-02-13,Coleira Ajustável,8,185.37,Acessórios,1482.96
2020-02-13,Brinquedo de Borracha,2,182.02,Brinquedos,364.04
2020-02-13,Petisco Natural,4,235.91,Alimentação,943.64
2020-02-13,Suplemento Vitamínico,5,97.28,Saúde,486.4
2020-02-14,Comedouro Duplo,9,209.63,Acessórios,1886.67
2020-02-14,Comedouro Duplo,6,27.57,Acessórios,165.42
2020-02-14,Coleira Ajustável,2,202.66,Acessórios,405.32
2020-02-15,Brinquedo de Borracha,8,199.79,Brinquedos,1598.32
2020-02-15,Ração Premium,4,168.25,Alimentação,673.0
2020-02-15,Caminha Luxo,2,107.79,Conforto,215.58
2020-02-15,Ração Premium,4,171.94,Alimentação,687.76
2020-02-15,Petisco Natural,2,33.26,Alimentação,66.52
2020-02-15,Petisco Natural,5,29.44,Alimentação,147.2
2020-02-15,Ração Premium,8,197.41,Alimentação,1579.28
2020-02-15,Suplemento Vitamínico,1,199.44,Saúde,199.44
2020-02-15,Suplemento Vitamínico,2,207.24,Saúde,414.48
2020-02-16,Comedouro Duplo,4,213.95,Acessórios,855.8
2020-02-16,Areia Higiênica,8,243.04,Higiene,1944.32
2020-02-16,Suplemento Vitamínico,2,165.98,Saúde,331.96
2020-02-16,Ração Premium,7,115.91,Alimentação,811.37
2020-02-16,Caminha Luxo,9,239.45,Conforto,2155.05
2020-02-16,Ração Premium,7,141.24,Alimentação,988.68
2020-02-16,Suplemento Vitamínico,5,55.0,Saúde,275.0
2020-02-17,Areia Higiênica,6,191.78,Higiene,1150.68
2020-02-17,Shampoo Antipulgas,7,126.32,Higiene,884.24
2020-02-17,Coleira Ajustável,6,66.89,Acessórios,401.34
2020-02-17,Comedouro Duplo,9,237.86,Acessórios,2140.74
2020-02-18,Escova de Pelos,3,30.81,Cuidados,92.43
2020-02-18,Caminha Luxo,9,67.79,Conforto,610.11
2020-02-18,Ração Premium,8,62.7,Alimentação,501.6
2020-02-19,Escova de Pelos,9,98.81,Cuidados,889.29
2020-02-19,Areia Higiênica,7,58.4,Higiene,408.8
2020-02-19,Ração Premium,8,150.62,Alimentação,1204.96
2020-02-20,Suplemento Vitamínico,9,42.62,Saúde,383.58
2020-02-20,Escova de Pelos,2,127.59,Cuidados,255.18
2020-02-20,Caminha Luxo,3,46.29,Conforto,138.87
2020-02-20,Ração Premium,4,99.72,Alimentação,398.88
2020-02-21,Caminha Luxo,8,163.83,Conforto,1310.64
2020-02-21,Caminha Luxo,6,44.0,Conforto,264.0
2020-02-21,Coleira Ajustável,8,227.6,Acessórios,1820.8
2020-02-21,Suplemento Vitamínico,3,21.6,Saúde,64.8
2020-02-21,Suplemento Vitamínico,7,231.96,Saúde,1623.72
2020-02-21,Areia Higiênica,7,237.96,Higiene,1665.72
2020-02-22,Caminha Luxo,3,112.19,Conforto,336.57
2020-02-22,Petisco Natural,1,221.19,Alimentação,221.19
2020-02-22,Caminha Luxo,3,184.69,Conforto,554.07
2020-02-22,Escova de Pelos,5,29.87,Cuidados,149.35
2020-02-22,Suplemento Vitamínico,2,215.39,Saúde,430.78
2020-02-22,Coleira Ajustável,3,133.61,Acessórios,400.83
2020-02-22,Brinquedo de Borracha,4,74.39,Brinquedos,297.56
2020-02-22,Ração Premium,6,198.19,Alimentação,1189.14
2020-02-23,Escova de Pelos,9,83.44,Cuidados,750.96
2020-02-23,Areia Higiênica,3,158.97,Higiene,476.91
2020-02-23,Shampoo Antipulgas,2,24.39,Higiene,48.78
2020-02-23,Suplemento Vitamínico,3,64.64,Saúde,193.92
2020-02-23,Ração Premium,8,138.68,Alimentação,1109.44
2020-02-24,Caminha Luxo,8,146.16,Conforto,1169.28
2020-02-24,Brinquedo de Borracha,8,71.82,Brinquedos,574.56
2020-02-24,Coleira Ajustável,6,158.86,Acessórios,953.16
2020-02-24,Escova de Pelos,5,24.25,Cuidados,121.25
2020-02-24,Comedouro Duplo,2,63.85,Acessórios,127.7
2020-02-24,Caminha Luxo,7,33.43,Conforto,234.01
2020-02-24,Shampoo Antipulgas,9,20.27,Higiene,182.43
2020-02-25,Escova de Pelos,1,64.75,Cuidados,64.75
2020-02-25,Brinquedo de Borracha,9,217.36,Brinquedos,1956.24
2020-02-25,Areia Higiênica,9,40.21,Higiene,361.89
2020-02-25,Areia Higiênica,3,86.11,Higiene,258.33
2020-02-26,Brinquedo de Borracha,5,34.53,Brinquedos,172.65
2020-02-26,Escova de Pelos,7,153.38,Cuidados,1073.66
2020-02-26,Shampoo Antipulgas,6,247.35,Higiene,1484.1
2020-02-26,Petisco Natural,7,146.83,Alimentação,1027.81
2020-02-26,Areia Higiênica,1,249.43,Higiene,249.43
2020-02-26,Areia Higiênica,7,224.81,Higiene,1573.67
2020-02-27,Caminha Luxo,4,100.06,Conforto,400.24
2020-02-27,Ração Premium,4,174.21,Alimentação,696.84
2020-02-28,Brinquedo de Borracha,1,19.06,Brinquedos,19.06
2020-02-28,Comedouro Duplo,3,47.47,Acessórios,142.41
2020-02-28,Areia Higiênica,7,151.09,Higiene,1057.63
2020-02-28,Comedouro Duplo,3,177.47,Acessórios,532.41
2020-02-28,Suplemento Vitamínico,2,175.63,Saúde,351.26
2020-02-29,Coleira Ajustável,9,71.57,Acessórios,644.13
2020-02-29,Ração Premium,5,164.11,Alimentação,820.55
2020-02-29,Escova de Pelos,6,230.42,Cuidados,1382.52
2020-02-29,Caminha Luxo,4,164.38,Conforto,657.52
2020-02-29,Brinquedo de Borracha,4,209.31,Brinquedos,837.24
2020-02-29,Escova de Pelos,2,18.94,Cuidados,37.88
2020-02-29,Ração Premium,6,155.55,Alimentação,933.3
2020-02-29,Ração Premium,6,167.98,Alimentação,1007.88
2020-03-01,Comedouro Duplo,3,106.43,Acessórios,319.29
2020-03-01,Coleira Ajustável,4,133.76,Acessórios,535.04
2020-03-02,Ração Premium,3,230.43,Alimentação,691.29
2020-03-02,Coleira Ajustável,9,157.2,Acessórios,1414.8
2020-03-02,Coleira Ajustável,5,216.78,Acessórios,1083.9
2020-03-02,Escova de Pelos,8,12.3,Cuidados,98.4
2020-03-02,Coleira Ajustável,5,181.65,Acessórios,908.25
2020-03-03,Suplemento Vitamínico,6,166.08,Saúde,996.48
2020-03-03,Comedouro Duplo,1,91.05,Acessórios,91.05
2020-03-03,Shampoo Antipulgas,1,145.69,Higiene,145.69
2020-03-03,Ração Premium,7,182.66,Alimentação,1278.62
2020-03-03,Coleira Ajustável,5,232.94,Acessórios,1164.7
2020-03-04,Ração Premium,5,124.81,Alimentação,624.05
2020-03-04,Coleira Ajustável,9,195.03,Acessórios,1755.27
2020-03-04,Brinquedo de Borracha,2,177.81,Brinquedos,355.62
2020-03-04,Escova de Pelos,4,194.55,Cuidados,778.2
2020-03-04,Coleira Ajustável,4,162.63,Acessórios,650.52
2020-03-04,Suplemento Vitamínico,7,167.1,Saúde,1169.7
2020-03-05,Escova de Pelos,6,13.14,Cuidados,78.84
2020-03-05,Brinquedo de Borracha,8,15.28,Brinquedos,122.24
2020-03-05,Brinquedo de Borracha,8,22.72,Brinquedos,181.76
2020-03-05,Ração Premium,7,241.22,Alimentação,1688.54
2020-03-05,Brinquedo de Borracha,9,113.81,Brinquedos,1024.29
2020-03-05,Petisco Natural,9,42.47,Alimentação,382.23
2020-03-06,Shampoo Antipulgas,4,236.86,Higiene,947.44
2020-03-06,Areia Higiênica,7,156.63,Higiene,1096.41
2020-03-06,Comedouro Duplo,7,225.53,Acessórios,1578.71
2020-03-06,Caminha Luxo,8,66.88,Conforto,535.04
2020-03-06,Suplemento Vitamínico,2,117.87,Saúde,235.74
2020-03-06,Suplemento Vitamínico,7,134.57,Saúde,941.99
2020-03-07,Suplemento Vitamínico,5,152.84,Saúde,764.2
2020-03-07,Suplemento Vitamínico,1,228.65,Saúde,228.65
2020-03-07,Coleira Ajustável,2,175.98,Acessórios,351.96
2020-03-07,Petisco Natural,4,37.48,Alimentação,149.92
2020-03-07,Suplemento Vitamínico,6,102.53,Saúde,615.18
2020-03-08,Areia Higiênica,4,224.69,Higiene,898.76
2020-03-08,Shampoo Antipulgas,8,234.88,Higiene,1879.04
2020-03-08,Petisco Natural,8,19.71,Alimentação,157.68
2020-03-08,Suplemento Vitamínico,7,23.3,Saúde,163.1
2020-03-08,Brinquedo de Borracha,9,155.19,Brinquedos,1396.71
2020-03-08,Suplemento Vitamínico,6,200.17,Saúde,1201.02
2020-03-08,Coleira Ajustável,8,18.82,Acessórios,150.56
2020-03-08,Caminha Luxo,6,229.7,Conforto,1378.2
2020-03-09,Shampoo Antipulgas,1,181.74,Higiene,181.74
2020-03-09,Caminha Luxo,6,199.27,Conforto,1195.62
2020-03-09,Ração Premium,1,146.27,Alimentação,146.27
2020-03-09,Coleira Ajustável,9,118.01,Acessórios,1062.09
2020-03-10,Escova de Pelos,7,187.42,Cuidados,1311.94
2020-03-10,Petisco Natural,3,136.63,Alimentação,409.89
2020-03-10,Ração Premium,3,15.32,Alimentação,45.96
2020-03-10,Caminha Luxo,5,10.74,Conforto,53.7
2020-03-10,Brinquedo de Borracha,9,55.49,Brinquedos,499.41
2020-03-11,Comedouro Duplo,7,77.46,Acessórios,542.22
2020-03-11,Suplemento Vitamínico,3,30.23,Saúde,90.69
2020-03-11,Ração Premium,2,108.39,Alimentação,216.78
2020-03-11,Coleira Ajustável,4,247.52,Acessórios,990.08
2020-03-11,Caminha Luxo,8,214.77,Conforto,1718.16
2020-03-12,Comedouro Duplo,9,71.39,Acessórios,642.51
2020-03-12,Petisco Natural,4,123.38,Alimentação,493.52
2020-03-12,Escova de Pelos,7,66.87,Cuidados,468.09
2020-03-12,Coleira Ajustável,4,10.46,Acessórios,41.84
2020-03-13,Caminha Luxo,4,107.0,Conforto,428.0
2020-03-13,Coleira Ajustável,7,142.08,Acessórios,994.56
2020-03-13,Caminha Luxo,8,102.84,Conforto,822.72
2020-03-14,Ração Premium,7,57.31,Alimentação,401.17
2020-03-14,Shampoo Antipulgas,9,191.33,Higiene,1721.97
2020-03-15,Brinquedo de Borracha,7,93.5,Brinquedos,654.5
2020-03-15,Escova de Pelos,9,123.62,Cuidados,1112.58
2020-03-15,Brinquedo de Borracha,6,145.43,Brinquedos,872.58
2020-03-16,Coleira Ajustável,1,200.47,Acessórios,200.47
2020-03-16,Comedouro Duplo,4,11.87,Acessórios,47.48
2020-03-16,Caminha Luxo,1,226.37,Conforto,226.37
2020-03-16,Caminha Luxo,3,18.85,Conforto,56.55
2020-03-16,Suplemento Vitamínico,9,213.78,Saúde,1924.02
2020-03-16,Caminha Luxo,2,63.09,Conforto,126.18
2020-03-17,Petisco Natural,9,28.95,Alimentação,260.55
2020-03-17,Caminha Luxo,5,97.23,Conforto,486.15
2020-03-17,Petisco Natural,9,203.35,Alimentação,1830.15
2020-03-17,Brinquedo de Borracha,5,113.59,Brinquedos,567.95
2020-03-18,Caminha Luxo,6,148.71,Conforto,892.26
2020-03-18,Brinquedo de Borracha,3,66.88,Brinquedos,200.64
2020-03-18,Escova de Pelos,9,11.28,Cuidados,101.52
2020-03-18,Caminha Luxo,5,115.28,Conforto,576.4
2020-03-18,Coleira Ajustável,6,242.62,Acessórios,1455.72
2020-03-18,Caminha Luxo,7,185.1,Conforto,1295.7
2020-03-18,Comedouro Duplo,5,37.27,Acessórios,186.35
2020-03-18,Areia Higiênica,7,57.52,Higiene,402.64
2020-03-18,Suplemento Vitamínico,9,106.04,Saúde,954.36
2020-03-18,Coleira Ajustável,6,188.16,Acessórios,1128.96
2020-03-18,Ração Premium,3,200.71,Alimentação,602.13
2020-03-19,Brinquedo de Borracha,6,222.53,Brinquedos,1335.18
2020-03-19,Escova de Pelos,4,80.35,Cuidados,321.4
2020-03-20,Escova de Pelos,4,70.7,Cuidados,282.8
2020-03-20,Areia Higiênica,7,58.29,Higiene,408.03
2020-03-20,Caminha Luxo,5,181.57,Conforto,907.85
2020-03-20,Comedouro Duplo,3,34.38,Acessórios,103.14
2020-03-20,Areia Higiênica,6,216.84,Higiene,1301.04
2020-03-21,Caminha Luxo,9,36.44,Conforto,327.96
2020-03-21,Petisco Natural,7,98.55,Alimentação,689.85
2020-03-21,Suplemento Vitamínico,1,156.25,Saúde,156.25
2020-03-22,Escova de Pelos,3,22.72,Cuidados,68.16
2020-03-22,Comedouro Duplo,4,128.08,Acessórios,512.32
2020-03-22,Coleira Ajustável,4,145.84,Acessórios,583.36
2020-03-22,Ração Premium,2,42.63,Alimentação,85.26
2020-03-23,Suplemento Vitamínico,7,163.81,Saúde,1146.67
2020-03-23,Shampoo Antipulgas,9,33.54,Higiene,301.86
2020-03-23,Brinquedo de Borracha,6,209.68,Brinquedos,1258.08
2020-03-23,Ração Premium,4,153.31,Alimentação,613.24
2020-03-23,Comedouro Duplo,3,109.15,Acessórios,327.45
2020-03-23,Shampoo Antipulgas,3,196.03,Higiene,588.09
2020-03-24,Areia Higiênica,4,125.06,Higiene,500.24
2020-03-24,Areia Higiênica,6,234.1,Higiene,1404.6
2020-03-24,Escova de Pelos,5,18.45,Cuidados,92.25
2020-03-24,Suplemento Vitamínico,8,202.22,Saúde,1617.76
2020-03-24,Shampoo Antipulgas,9,62.55,Higiene,562.95
2020-03-24,Caminha Luxo,5,96.12,Conforto,480.6
2020-03-25,Comedouro Duplo,2,23.09,Acessórios,46.18
2020-03-25,Comedouro Duplo,1,86.96,Acessórios,86.96
2020-03-25,Shampoo Antipulgas,1,57.78,Higiene,57.78
2020-03-26,Suplemento Vitamínico,8,96.02,Saúde,768.16
2020-03-26,Escova de Pelos,6,147.14,Cuidados,882.84
2020-03-26,Petisco Natural,9,214.65,Alimentação,1931.85
2020-03-26,Caminha Luxo,5,147.25,Conforto,736.25
2020-03-26,Shampoo Antipulgas,7,85.96,Higiene,601.72
2020-03-27,Comedouro Duplo,5,191.53,Acessórios,957.65
2020-03-27,Petisco Natural,2,90.24,Alimentação,180.48
2020-03-27,Comedouro Duplo,7,223.75,Acessórios,1566.25
2020-03-27,Escova de Pelos,8,78.89,Cuidados,631.12
